english_word,twi_word,part_of_speech
Sauce/Stew/Gravy.,Abom,noun
Scar.,Twa,"noun, nasal"
Scar.,Twa,"noun, nasal"
Search.,Hwehwe,verb
Secret.,Ahintasem,noun
Secret.,Ahintasem,noun
See you.,Yebehyia,noun
Sell.,Ton,verb
Send.,Soma,verb
September.,Ebo,noun
September.,Fankwa,noun
Seven/7.,Nson,number
Sibling.,Onua,
Sir/Mister/Mr.,Owura,noun
Six/6.,Nsia,number
Sleep.,Da,verb
Small.,Ketewa,Adjective
Smoke.,Wisie,noun
Snake.,Owo,noun
Soap/Detergent.,Samina,noun
Soft/Flabby.,Betee,adjective
Soil.,Dotee,noun
Soon.,Enkye,adverb
Sorry.,Kose,
Sparrow.,Akasanoma,noun
"Speak, I am listening.",Kasa,verb
"Speak, I am listening.",Kasa,verb
"Speak, I am listening.",Kasa,verb
Speak.,Ka,verb.
Speak.,Ka,verb.
Speak.,Ka,verb.
Speed.,Mirika,noun
Stink.,Bon,verb
Stop/Halt/Abandon/leave behind.,Gyae,verb
Stop/Halt/Abandon/leave behind.,Gyae,verb
Stop/Halt/Abandon/leave behind.,Gyae,verb
Storm.,Ahum,noun
Strife/Quarrel/Argument.,Akasakasa,noun
Strife/Quarrel/Argument.,Akasakasa,noun
Sugar.,Asikyire,noun
Sun/Afternoon/Noon.,Awia,noun
Sun/Afternoon/Noon.,Awia,noun
Sun/Afternoon/Noon.,Awia,noun
Tall/High/Long.,Tenten,Adjective
Teach/Show.,Kyere,verb
Teacher.,Okyerekyereni,noun
Teeth.,Ese,noun
Telephone.,Ahomatorofuo,
Ten/10.,Edu,number
Ten/10.,Edu,number
Thank you.,Medaase,noun
Thanks be to God.,Nka,verb
Thanks/Gratitude/Acknowledgement.,Aseda,noun
That is mine.,Me dee,Pronoun.
That is what I meant.,Saa,adjective
That tree behind the house has fallen.,A,Pronoun.
That/it.,No,Pronoun
The Grace of God be with you.,Adom,noun
The house is big.,Edan,noun
The house is big.,Edan,noun
The peace of God be with you.,Asomdwoee,verb
They/Them.,Won,Pronoun
They/Them.,Won,Pronoun
Thief.,Okoromfuo,adjective
Thirst.,Nsukom,noun
Those.,Enonom,pronoun
Three (3).,Mmiensa,number
Thrice.,Mprensa,adverb
Thursday.,Yawoada,noun
Tie.,Kyekyere,verb
To come down/To alight/To descend.,Si fam,verb
To join together.,Bom,verb
To join together.,Bom,verb
To stop/To remain.,Gyina,verb
Today.,Enne,noun
Toilet/Feces/Stools.,Tiafi,noun
Tomorrow.,Okyena,noun.
Town.,Kuro,noun
Town.,Kuro,noun
Town.,Kuro,noun
Town.,Kuro,noun
Train.,Keteke,noun
Trinity.,Onyame Baasakoro,noun
Tuesday.,Benada,Calendar
Tutor.,Okyerekyerefuo,noun.
Twice.,Mprenu,adverb
Twin.,Ata,
Two (2).,Mmienu,number
Underground.,Asase ase,
Unity.,Nkabom,noun
University/College.,Sukuupon,noun
University/College.,Sukuupon,noun
Urine.,Dwonso,noun
Urine.,Dwonso,noun
Velocity.,Emirika,noun
Verb.,Adeyo,noun
Vomit.,Efee,Noun
Vulture.,Kokosakyi,
Vulture.,Kokosakyi,
